location_code,location_name,average_rating
K224,P.S. 224 Hale A. Woodruff,7.111111111111111
K225,P.S. K225 - The Eileen E. Zaglin,7.769230769230769
K226,P.S. 226 Alfred De B. Mason,9.0
K227,J.H.S. 227 Edward B. Shallow,8.0
K228,I.S. 228 David A. Boody,9.0
K229,P.S. 229 Dyker,7.6
K230,P.S. 230 Doris L. Cohen,8.0
K231,P.S. K231,7.75
K232,I.S. 232 The Winthrop,8.5
K233,P.S. 233 Langston Hughes,7.75
K400,Lafayette High School,8.5
K234,J.H.S. 234 Arthur W. Cunningham,7.5
K235,P.S. 235 Janice Marie Knight School,9.0
K236,P.S. 236 Mill Basin,
K238,P.S. 238 Anne Sullivan,7.777777777777778
K239,Mark Twain I.S. 239 for the Gifted & Talented,8.333333333333334
K240,Andries Hudde,8.166666666666666
K241,P.S. 241 Emma L. Johnston,7.8
K243,P.S. 243K- The Weeksville School,7.5
K244,P.S. 244 Richard R. Green,7.8
K245,P.S. 245,7.0
K246,M.S. 246 Walt Whitman,
K247,P.S. 247 Brooklyn,9.0
K249,P.S. 249 The Caton,7.0
K250,P.S. 250 George H. Lindsay,7.0
K565,HS Of Redirection,5.666666666666667
K251,P.S. 251 Paerdegat,6.666666666666667
K252,I.S. 252 Arthur S. Somers,7.25
K253,P.S. 253,7.846153846153846
K254,P.S. 254 Dag Hammarskjold,8.1
K255,P.S. 255 Barbara Reing School,7.5
K256,P.S. 256 Benjamin Banneker,7.0
K257,P.S. 257 John F. Hylan,7.0
K258,J.H.S. 258 David Ruggles,7.0
K259,J.H.S. 259 William McKinley,7.0
K260,P.S. 260 Breuckelen,9.0
K261,P.S. 261 Philip Livingston,8.11111111111111
K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,7.666666666666667
K264,P.S. 264 Bay Ridge Elementary School For The Arts,7.0
K265,Dr. Susan S. McKinney Secondary School of the Arts,7.925925925925926
K266,M.S. K266 - Park Place Community Middle School,7.529411764705882
K267,"M.S. 267 Math, Science & Technology",8.0
K268,P.S. 268 Emma Lazarus,8.0
K269,P.S. 269 Nostrand,8.0
K270,P.S. 270 Johann DeKalb,7.428571428571429
K271,I.S. 271 John M. Coleman,7.666666666666667
K272,P.S. 272 Curtis Estabrook,5.0
K273,P.S. 273 Wortman,6.8
K274,P.S. 274 Kosciusko,8.0
K275,IS 275 Thelma J. Hamilton,7.166666666666667
K276,P.S. 276 Louis Marshall,5.0
K277,P.S. 277 Gerritsen Beach,7.9
K278,J.H.S. 278 Marine Park,
K279,P.S. 279 Herman Schreiber,5.0
K280,IS 280 Brooklyn Studio School,8.5
K281,I.S. 281 Joseph B Cavallaro,8.0
